text,label
"Movement Disorders Vol. 25, No. 14, 2010, pp. 2461–2477 © 2010 Movement Disorder Society Letters to the Editor Related to New Topics Retina Thickness in Parkinson’s Disease and Essential Tremor Visual symptoms, particularly impaired foveal vision, are common among the nonmotor phenomena in Parkinson’s disease (PD). Experimental evidence from humans and monkeys shows that there are dopaminergic cells in the retina, including the amacrine subtype A18 with D1 and D2 receptors, and interplexiform cells.",0
"Postmortem studies have shown that PD eyes have lower dopamine content,1 compared with healthy controls. Likewise, a loss in the sensitivity to contrast and color vision, altered visual evoked potential, and electroretinographic measurements have been observed, indicating foveal retinal ganglion cells damage in PD.2",0
"Quantitative morphology of gross retinal histology in humans can be measured in vivo using time domain Optical Coherence Tomography (OCT). In PD a thinning of the peripapillary retinal nerve ﬁber layer, which represents axons of the ganglion cells, and macula have been shown, supporting the hypothesis that dopaminergic deﬁcit in the retina can cause structural changes.2–5 However, the usefulness of measuring foveal thickness by OCT as a diagnostic tool to differentiate PD from other tremor disease, such as essential tremor (ET) remains unknown. Therefore, the main purpose of this pilot study was to measure foveal thickness in patients with PD, and to compare it against a normal population and patients with ET.",0
"We designed a cross-sectional pilot study that included a consecutive sample of outpatients diagnosed with idiopathic PD in accordance with the UK Parkinson’s Disease Society brain bank, and ET based on clinical criteria. Patients with any coexisting ocular disease were excluded. This study was approved by the Ethics Committee of the General Yagu¨e Hospital, Burgos (Spain), and all patients signed the informed consent before being enrolled. Control subjects were matched for age (6 5 years) and gender to PD patients. Demographic and PD/ET laterality data were collected. OCT was acquired through a dilated pupil by an experienced operator using the OCT3 (Carl Zeiss Meditec, Dublin, Calif), with axial resolution of < 10 lm. The macular thickness map analysis and the center foveal thickness was automatically determined by the OCT3 software.6 Images were considered to be of good quality if the signal-to-noise ratio was greater than 30dB or had more than 95% sweeps accepted.",0
"Data analysis was performed from an exploratory point of view using the statistical package SPSS program (SPSS 17; SPSS, Chicago). Only descriptive analysis was used, owing to the small sample size. Data were summarized as mean 6 Potential conﬂict of interest: Nothing to report. Published online 28 July 2010 in Wiley Online Library (wileyonlinelibrary.com). DOI: 10.1002/mds.23215 standard deviation, and median (range). To maintain independence of all observations, right eye [RE] versus left eye [LE] were analyzed for each patient.",0
"Fifty-two eyes from 9 patients with PD (5 men and 4 women) with a mean age of 64.1 + 12 years and disease duration of 8.4 6 1.9 years, 8 patients with ET (4 men and 4 women) with a mean age of 67.8 6 4.8 years and disease duration of 23.7 6 18.3 years, and 9 controls were included. The mean foveal thickness was thinner in the PD group compared with the ET group and controls (Table 1). For the PD and ET groups, the mean foveal thickness was also thinner in the contra lateral eye of the most affected side (Table 1).",0
"In this pilot study, based on the OCT imaging, the fovea was thinner in the PD group compared with the ET group and controls. Interestingly, whereas interocular macular symmetry has been found in the normal population,7 we found that the foveal thickness was asymmetric and thinner in the eye contralateral to the side more affected by tremor and parkinsonism in the ET and PD groups, respectively. Hajee et al, also found the correlation between thinning in the left and the right eye of the same was not perfect.7 Hence, this interocular foveal asymmetry should be considered in interpretation. Except that for ET, although mild tremor asymmetry has been documented as a fundamental characteristic of ET, there is no published information regarding foveal thickness in patients with ET. The similar asymmetry ﬁnding in ET is difﬁcult to understand, and we cannot obviously explain it based on our preliminary data. However, abnormal OCT measures have also been found in other neurodegenerative diseases, such as Alzheimer’s disease, multiple sclerosis, and spinocerebellar ataxias, most likely related to the loss of retinal ganglion cells and axons.8 Therefore, further studies are required to establish whether OCT measures contribute for a sensitive and speciﬁc diagnosis of PD and to differentiate it from other conditions. We recognize our results cannot be compared with prior OCT reports in PD because of the different imaging map protocol and equipment. We are also aware that because of the small sample size used, these results need to be repeated in larger cohorts to ensure reproducibility.",0
"With regards to technical feasibility, the OCT compared with other expensive ones, such as the single photon emission computed tomography (SPECT) studies using 123I-FP-CIT (DAT scan), is widely available, fast, as it only takes a few minutes to perform, and relatively inexpensive. Based on our preliminary data, and in accordance with other authors,2–5 we believe that foveal thickness measured by the OCT could be a promising, feasible biomarker of PD, by quantifying the morphological changes of retinal dopaminergic neurons.",0
"Acknowledgment: This study was supported by a grant from Caja Burgos 2009. Financial Disclosures: Cubo E—Honoraria: Boehringer Ingelheim, Glaxo Smith Kline, Lundbeck; Grant: Michael J 2461 Fox, FIS, Sacyl. Prieto Tedejo R—None. Rodriguez Mendez V—None. Lo´pez Pueyo MJ—None. Trejo Gabriel y Gala´n JM—Honoraria: Pﬁzer, Grants: Servier, Sanoﬁ, Esteve, Sacyl, Michael J Fox.",0
"Author Roles: Cubo E—Research project: conception and organization; Statistical Analysis: design and execution; writing of the ﬁrst draft of the manuscript. Prieto Tedejo R— research project: organization and execution. Rodriguez Mendez V—research project: organization; Lo´pez Pueyo MJ— review and critique of statistical analysis and manuscript. Trejo Gabriel y Gala´n JM—review and critique of statistical analysis and manuscript. Esther Cubo, MD, PhD* Rosa Prieto Tedejo Neurology Department Hospital General Yagu¨e Burgos, Spain *E-mail: esthercubo@gmail.com",0
"Vero´nica Rodriguez Mendez, MD Mar´ıa Jesu´s Lo´pez Pen˜a, MD, PhD Ophthalmology Department Hospital General Yagu¨e Burgos, Spain Jose´ Mar´ıa Trejo Gabriel y Gala´n, MD, PhD Neurology Department Hospital General Yagu¨e Burgos, Spain References Harnois C, DiPaolo T. Decreased dopamine in the retina of patients with Parkinson’s disease. Invest Ophthalmol 1990;31: 2473–2475. Bodis-Wollner I. Retinopathy in Parkinson’s disease. J Neural Transm 2009;116:1493–1501.",0
"Hajee ME, March WF, Lazzaro DR, Wolintz AH, Shrier EM, Glazman S, Bodis-Wollner IG. Inner retinal layer thinning in Parkinson disease. Arch Ophthalmol 2009;127:737–741. Altintas¸ O, Is¸eri P, Ozkan B, Cag˘lar Y. Correlation between retinal morphological and functional ﬁndings and clinical severity in Parkinson’s disease. Doc Ophthalmol 2008;116:137–146. Inzelberg R, Ramirez JA, Nisipeanu P, Ophir A. Retinal nerve ﬁber Berisha F, Feke GT, Trempe CL, McMeel JW, Schepens CL. Retinal abnormalities in early Alzheimer’s disease. Invest Ophthalmol Vis Sci 2007;48:2285–2289.",0
"Lamirel C, Newman N, Biousse V. The use of optical coherence tomography in neurology. Rev Neurol Dis 2009;6:105–120. Acute Renal Failure in Patients with Bilateral Deep Brain Stimulation The management of Parkinson’s disease is mainly pharmacological with levodopa but in recent years, surgery [deep brain stimulation of the subthalamic nucleus (STN-DBS)] has been revitalized for the treatment of patients with uncontrollable motor complications.1",0
"A large proportion of patients suffering from Parkinson’s disease presents with urinary dysfunction described as urgency, increased frequency or incontinence as predominant symptoms2,3 and also STN-DBS has proven to improve urinary function.4 Data from experimental urodynamic measures in men and animal models have demonstrated a signiﬁcant inﬂuence of STN-DBS on urinary bladder function.5,6 In these studies, the main effect of STN-DBS appeared to be a normalization of urodynamic parameters but there is no data reported about kidney function in these patients.7 Despite its clinical efﬁcacy, the manifold physiological consequences of STN-DBS are to date poorly understood.",0
"Acute renal failure (ARF) deﬁned as an abrupt or rapid decline in renal ﬁltration function and creatinine clearance (CC) is used to estimate the glomerular ﬁltration rate (GFR). The CC test compares the level of creatinine in urine with the creatinine level in the blood, usually based on measurements of a 24-hour urine sample. GFR has never been studied in Parkinson patients with normal preoperative renal function immediately after STN-DBS. Here, we report a decline in renal ﬁltration function after STN-DBS.",0
"Nineteen patients (15 men and four women) with a mean (6SD) age of 63 6 7 years at the time of surgery and a mean duration of disease of 16 6 9 years were selected for implantation of electrodes in the STN. The selection criteria were clinically diagnosed Parkinson’s disease, severe levodopa-related motor complications despite optimal adjustment of antiparkinsonian medication, an age under 70 years, no layer thinning in Parkinson disease. Vision Res 2004;44: 2793– 2797.",0
"El-Ashry M, Hegde V, James P, Pagliarini S. Analysis of macular thickness in British population using optical coherence tomography (OCT): an emphasis on interocular symmetry. Curr Eye Res 2008;33:693–699. Potential conﬂict of interest: There is no potential conﬂicts of interest from each author that relate to the research covered in the article submitted. Published online 28 July 2010 in Wiley Online Library (wileyonlinelibrary.com). DOI: 10.1002/mds.23228 Movement Disorders, Vol. 25, No. 14, 2010 LETTERS TO THE EDITOR 2463 FIG. 1. Creatinine clearance before and after STN-DBS.",0
"surgical contraindications, and no dementia or major ongoing psychiatric illness. Electrodes were implanted bilaterally under local anesthesia as described previously.8 Patients were evaluated preoperatively (1 week after surgery) and postoperatively (1 week after surgery). Evaluations included (1) the Uniﬁed Parkinson’s Disease Rating Scale (UPDRS) parts III (motor); (2) mean dose of levodopa; (3) all medical manifestations; (4) 24 hours urine; (5) urine ionogram and biochemistry (6) blood ionogram; and (7) CC.",0
"CC and fractional excretion of sodium, potassium, and phosphate were calculated as previously reported (5). Urea was measured by an enzymatic test and creatinine by the Jaffe´ method. Ion-selective electrodes performed the quantiﬁcations of sodium and potassium in urine samples. Phosphate was determined by a direct photometric method. All assays were performed by Cobas Mira Plus analyser (ABX Diagnostics, Geneva, Switzerland). Urine and plasma osmolality were determined by means of an os- changes were observed in urine and blood ionogram before and after surgery (Table 1).",0
"STN-DBS has been shown to ameliorate bladder dysfunction (increases bladder capacity) in patients with Parkinson’s disease, by modulation of sensory processing.9 It appears to be a normalization of urodynamic parameters, but there is no data reported about kidney function in these patients.",0
"In our patients kidney function was altered immediately after surgery. A decline in ﬁltration function developed after STN-DBS and some patients without preoperative RI developed acute RI postoperatively. In these patients no urinary retention occurred, urinary volume was similar before and after surgery. No preoperative hemodynamic complications, as dehydration occurred; like other series, neurostimulator implantation anesthetic technique is not associated with major hemodynamic adverse effects.10",0
"A recent study of experimentally induced ARF showed that there is a close interaction between the kidney and the central nervous system.11 Sympathetic inﬂuence in kidney functions is under control of brainstem biogenic amine cell groups and hypothalamic nuclei.12,13 It cannot be excluded that there may be regional effects of DBS-STN on hypothalamic centers, depending on the exact location of the contacts in the STN area.",0
"Effect of DBS-STN in hypothalamic centers remains a valid hypothesis which could explain an altered kidney function immediately after surgery, but further investigations are required to explore this possible mechanism. With these preliminary results the authors suggest that it is necessary to evaluate CC before and after surgery for early orientation of patients with RI. Acknowledgments: We thank the Clinical Investigation Center of Hospital de Sa˜o Joa˜o.",0
"Financial Disclosures: The authors have no ﬁnancial disclosures or nothing to disclose. Financial disclosures of all authors for the past year: none of the authors have received TABLE 1. Urine and blood ionogram before and after surgery mometer (model 3 MO, Advanced Instruments). Wilcoxon signed rank test and Spearman test were used for statistical Parkinson patient experimental conditions STN-DBS before STN-DBS after analysis. 24 hours urine volume (mL) 1,601 6 562 1,521 6 583 After surgery, DBS-STN produced a statistically and clini-",0
"cally signiﬁcant reduction in mean Uniﬁed Parkison’s Disease Rating Scale (UPDRS) motor scores. UPRSS-III was signiﬁ- Glomerular ﬁltration rate (mL/min) Blood ionogram 78.2 6 31.1* 69.3 6 27.9* cantly improved after DBS-STN (P < 0.005): 52 6 8.3 before surgery and 16.5 6 8.4, 1 week after surgery. As well as a ma red 49 Sodium (mEq/L) 139 6 2.2 136 6 2.1 Potassium (mEq/L) 4.1 6 0.1 4.0 6 0.1 Mean estimated GFR, calculated by CC (mL/min) declined signiﬁcantly (P < 0.005) after STN-DBS, from 78.2 6 31.1",0
"to 69.3 6 27.9 (Fig. 1). Moreover, three patients without preoperative renal insufﬁciency (RI) (CC < 90 mL/min) developed acute RI postoperatively: stage 2 RI in two patients; and stage 3 RI in one patient. Three patients with preoperative RI exacerbated: stage 2 into stage 3 in one patient; and stage 3 into stage 4 in two patients. Mean urinary volume in mL/day were similar preoperatively (1,601 6 562) and postoperatively (1,521 6 583). No Urine ionogram Sodium (mmmol/L) 109 6 40 123 6 67 Potassium (mmmol/L) 33.7 6 11.3 33.7 6 10.4 Calcium (mg/dL) 8.2 6 4.2 7.7 6 4.3",0
"Phosporum (mg/dL) 59.8 6 26.1 55.1 6 27.9 Uric acid (mg/dL) 6.4 6 5.3 10.3 6 7.6 Urine biochemistry Movement Disorders, Vol. 25, No. 14, 2010 2464 LETTERS TO THE EDITOR ﬁnancial support and funding for the preceding 12 months of the listed sources, regardless of relationship to current manuscript.",0
