text,label
"Edited by: Giovanni Meola, University of Milan, Italy Reviewed by: Corrado Italo Angelini, University of Padua, Italy Filippo M. Santorelli, Stella Maris Foundation (IRCCS), Italy *Correspondence: Paloma Gonzalez-Perez pgonzalezperez@partners.org Specialty section: This article was submitted to Neuromuscular Disorders and Peripheral Neuropathies, a section of the journal Frontiers in Neurology Received: 30 December 2021 Accepted: 04 February 2022 Published: 08 March 2022",0
"Citation: Lang-Orsini M and Gonzalez-Perez P (2022) Neuropathic Pain as Main Manifestation of POLG-Related Disease: A Case Report. Front. Neurol. 13:846110. doi: 10.3389/fneur.2022.846110 CASE REPORT published: 08 March 2022 doi: 10.3389/fneur.2022.846110 Neuropathic Pain as Main Manifestation of POLG-Related Disease: A Case Report Melanie Lang-Orsini 1 and Paloma Gonzalez-Perez 2* 1 Department of Pathology, Massachusetts General Hospital, Harvard Medical School, Boston, MA, United States,",0
"2 Department of Neurology, Massachusetts General Hospital, Harvard Medical School, Boston, MA, United States",0
"Mutations in nuclear-encoded genes that are involved in mitochondrial DNA replication and maintenance (e.g., POLG) have been associated with chronic progressive external ophthalmoplegia (CPEO) phenotype. These nuclear genome mutations may lead to multiple mitochondrial DNA deletions or mitochondrial DNA depletion. On the other hand, primary genetic defects of mitochondrial DNA (such as single large-scale deletion or point mutations) have also been associated with the CPEO phenotype. Chronic progressive external ophthalmoplegia (CPEO) may be a manifestation of specific syndromes that, when clinically recognized, prompt clinicians to investigate specific genetic defects. Thus, CPEO, as part of Kearns Sayre syndrome, suggests the presence of a large-scale deletion of mitochondrial DNA. However, in pure CPEO or CPEO plus phenotypes, it is more difficult to know whether causative genetic defects affect the nuclear or mitochondrial DNA. Here, we present a patient with a long-standing history of CPEO plus phenotype, in whom the sequencing of mitochondrial DNA from skeletal muscle was normal, and no other genetic defect was suspected at first. At the time of our evaluation, the presence of polyneuropathy and neuropathic pain prompted us to investigate nuclear genetic defects and, specifically, mutations in the POLG gene. Thus, the sequencing of the POLG gene revealed p.Thr251Ile and p.Pro587Leu mutations in one allele, and p.Ala467Thr mutation in another allele. Although one would expect that mutations in POLG lead to multiple mitochondrial DNA deletions or depletion (loss of copies), the absence of mitochondrial DNA abnormalities in tissue may be explained by heteroplasmy, a lack or no significant involvement of biopsied tissue, or a sampling bias. So, the absence of secondary mitochondrial DNA alterations should not discourage clinicians from further investigating mutations in nuclear-encoded genes. Lastly, mitochondrial point mutations and single mitochondrial DNA deletions very rarely cause CPEO associated with polyneuropathy and neuropathic pain, and POLG-related disease should be considered in this scenario, instead.",1
"Keywords: CPEO, polyneuropathy, neuropathic pain, POLG, mitochondrial disease INTRODUCTION",0
"The human DNA polymerase gamma is formed by a 140 kDa catalytic subunit called POLG and a 55 kDa dimeric accessory subunit called POLG2. The POLG is encoded by the POLG gene (Chr.15q25) and the POLG2 is encoded by the POLG2 gene (Chr.17q24.1). The POLG has DNA polymerase, 3′ to 5′ exonuclease, and 5′-deoxyribose activities, whereas POLG2 increases the affinity of POLG for mitochondrial DNA. Thus, the DNA polymerase gamma is entirely encoded by nuclear genes, although its main role is the replication of mitochondrial DNA. The POLG and POLG2 mutations may lead to multiple deletions or depletion (loss of copies) of mitochondrial DNA (mtDNA) and have been associated with a broad spectrum of phenotypes such as chronic progressive external ophthalmoplegia (CPEO) (1).",0
"CPEO is a slow, progressive, and painless ocular myopathy characterized by bilateral ptosis and limitation of ocular movements in all directions that is not usually associated with diplopia because, as in other ocular myopathies, no significant misalignment occurs between both eyes. Although other myopathies, such as oculopharyngeal muscular dystrophy, oculopharyngeal distal myopathy, or MHY2-myopathy, are also characterized by progressive ptosis with or without ophthalmoplegia, the term CPEO usually refers to mitochondrial ocular myopathies due to either mutation in mitochondrial or nuclear DNA. The CPEO may occur in isolation (pure CPEO), as part of specific syndromes, or associated with a constellation of clinical manifestations that have not been recognized as syndrome or disorder (CPEO plus). Thus, CPEO is a characteristic feature of Kearns Sayre syndrome (KSS) that is caused by a large-scale 1.1 to 10 kilobase deletion of mtDNA, and it can also be seen as a clinical manifestation of dominantly or recessively inherited POLG-related disease; mutations in this nuclear gene account for 25% of patients with CPEO phenotype (2–6).",0
"Here, we report a patient who presented to us for evaluation of polyneuropathy and neuropathic pain as main symptoms, which were previously thought to be unrelated to her long-standing ocular myopathy for which no specific etiology was initially found. Although polyneuropathies are frequent (and commonly idiopathic in the absence of diabetes), they can be a manifestation of a mitochondrial disorder. Furthermore, polyneuropathy has been reported as a predictor of nuclear gene defects in patients with CPEO, and more specifically, the presence of neuropathic pain should prompt the clinician to consider POLG-related disease as an unifying diagnosis (7, 8).",1
"CASE DESCRIPTION A 69-year-old woman was referred to us for paresthesia, neuropathic pain, and cramps in extremities as her main symptoms. She was in good health until her early 50s when she first experienced slowly progressive bilateral ptosis that was surgically corrected twice, and restriction of eye movements in all directions that did not bother her much; she never experienced any diplopia. Eventually, she developed myalgias and fatigue. However, her main complaints were numbness and burning",1
"pain in her hands and feet that worsened over time, as well as cramps in her feet. She reported sensitivity to temperature; cold exacerbated burning pain in her feet mostly at night. She also felt clumsy; she frequently dropped things from her hands despite bilateral carpal tunnel release in the past, she had developed mild action hand tremors, and she often suffered near-falls because her balance had deteriorated over time. She was taking duloxetine 30 mg/day and pregabalin 300 mg/day with partial benefit of her burning pain, and she tried lidocaine patches on feet that did not provide any relief. She also reported a longstanding history of dysphagia to solids, with an isolated episode of aspiration in the past and episodes of retrosternal spasms during meals. She denied speech or chewing difficulties. She denied shortness of breath, hearing difficulties, cataracts, or heart problems. Her past medical history also included sleep apnea and cervical and lumbar spine surgeries. She denied alcohol or illicit drug use. Her older brother had similar ocular symptoms and carried a diagnosis of neuropathy; both of uncertain etiology too.",1
